Date,Portfolio_Name,Total_Value
2026-03-07,均衡型（Core-Satellite）,40000.0
2026-03-07,并购博弈型（M&A Arbitrage）,40000.0
2026-03-07,我的自定义策略,40000.0
2026-03-07,进攻型（Catalyst-Driven / High-Beta）,40000.0
2026-03-07,防御型（Risk-Averse）,40000.0
2026-03-10,均衡型组合2,41818.99
2026-03-10,并购博弈型组合2,42386.45
2026-03-10,进攻型组合2,42740.12
2026-03-10,我的最新持仓,42410.56
2026-03-11,均衡型组合2,41818.99
2026-03-11,并购博弈型组合2,42386.45
2026-03-11,进攻型组合2,42740.12
2026-03-11,我的自定义策略,42418.56
2026-03-11,我的最新持仓,42410.56
