Symbol,Company_Name,NCTId,Phases,Status,Conditions,Interventions
ARQT,"Arcutis Biotherapeutics, Inc.",NCT07077902,PHASE2,RECRUITING,Hidradenitis Suppurativa,Topical roflumilast 0.3% foam
ARQT,"Arcutis Biotherapeutics, Inc.",NCT07453602,PHASE1,RECRUITING,"Atopic Dermatitis (AD), Eczema","ARQ-234, Placebo"
ARQT,"Arcutis Biotherapeutics, Inc.",NCT07105254,PHASE2,RECRUITING,Non-segmental Vitiligo,Roflumilast topical 0.3% foam
ARQT,"Arcutis Biotherapeutics, Inc.",NCT07340216,PHASE1,RECRUITING,Psoriasis,ARQ-154 Foam 0.3%
VTVT,vTv Therapeutics Inc.,NCT06334133,PHASE3,RECRUITING,"Diabetes Mellitus, Type 1","Cadisegliatin 800 mg QD, Cadisegliatin 800 mg BID, Placebo"
ESPR,"Esperion Therapeutics, Inc.",NCT05103254,N/A,RECRUITING,"Pregnancy, Hyperlipidemias","Bempedoic Acid, Bempedoic Acid / Ezetimibe"
ESPR,"Esperion Therapeutics, Inc.",NCT06300450,NA,RECRUITING,"Peripheral Artery Disease, Peripheral Vascular Diseases, Dyslipidemias",N/A
MDGL,"Madrigal Pharmaceuticals, Inc.",NCT04951219,PHASE3,ACTIVE_NOT_RECRUITING,Non-Alcoholic Fatty Liver Disease,Resmetirom
MDGL,"Madrigal Pharmaceuticals, Inc.",NCT03900429,PHASE3,ACTIVE_NOT_RECRUITING,NASH - Nonalcoholic Steatohepatitis,"MGL-3196, Placebo"
MDGL,"Madrigal Pharmaceuticals, Inc.",NCT05500222,PHASE3,ACTIVE_NOT_RECRUITING,"NASH, Cirrhosis, Liver","Resmetirom, Placebo"
MDGL,"Madrigal Pharmaceuticals, Inc.",NCT07335601,PHASE2,ACTIVE_NOT_RECRUITING,MASH - Metabolic Dysfunction-Associated Steatohepatitis,"Resmetirom, Placebo"
PTCT,"PTC Therapeutics, Inc.",NCT06302348,PHASE3,RECRUITING,Phenylketonuria,Sepiapterin
PTCT,"PTC Therapeutics, Inc.",NCT03605550,PHASE1,ACTIVE_NOT_RECRUITING,"High Grade Glioma, Diffuse Intrinsic Pontine Glioma",PTC596
PTCT,"PTC Therapeutics, Inc.",NCT05166161,PHASE3,ACTIVE_NOT_RECRUITING,Phenylketonuria,PTC923
PTCT,"PTC Therapeutics, Inc.",NCT04014530,"PHASE1, PHASE2",RECRUITING,"Colorectal Cancer, Endometrium Cancer",Ataluren + Pembrolizumab
PTCT,"PTC Therapeutics, Inc.",NCT04903288,PHASE2,ACTIVE_NOT_RECRUITING,AADC Deficiency,N/A
PTCT,"PTC Therapeutics, Inc.",NCT05515536,PHASE3,ACTIVE_NOT_RECRUITING,Friedreich Ataxia,Vatiquinone
FULC,"Fulcrum Therapeutics, Inc.",NCT07431398,PHASE1,RECRUITING,Sickle Cell Disease,Pociredir
FULC,"Fulcrum Therapeutics, Inc.",NCT07401823,PHASE2,NOT_YET_RECRUITING,Sickle Cell Disease,Pociredir
KALV,"KalVista Pharmaceuticals, Inc.",NCT05511922,PHASE3,ACTIVE_NOT_RECRUITING,Hereditary Angioedema,"KVD900 600 mg, Drug: KVD900 300 mg"
KALV,"KalVista Pharmaceuticals, Inc.",NCT05505916,PHASE3,ACTIVE_NOT_RECRUITING,Hereditary Angioedema,"KVD900 600 mg, KVD900 300 mg"
TGTX,"TG Therapeutics, Inc.",NCT06143514,N/A,RECRUITING,Relapsing Multiple Sclerosis,N/A
TGTX,"TG Therapeutics, Inc.",NCT04130997,PHASE3,ACTIVE_NOT_RECRUITING,Relapsing Multiple Sclerosis (RMS),Ublituximab
TGTX,"TG Therapeutics, Inc.",NCT07220252,"PHASE2, PHASE3",NOT_YET_RECRUITING,Relapsing Multiple Sclerosis,"Ublituximab, Placebo, Placebo, Fingolimod"
TGTX,"TG Therapeutics, Inc.",NCT04624633,PHASE2,ACTIVE_NOT_RECRUITING,"Chronic Lymphocytic Leukemia, Small Lymphocytic Lymphoma, Relapsed Chronic Lymphocytic Leukemia, Refractory Chronic Lymphocytic Leukemia","Acalabrutinib, Umbralisib, Ublituximab"
TGTX,"TG Therapeutics, Inc.",NCT07389590,PHASE4,NOT_YET_RECRUITING,Multiple Sclerosis,"Ublituximab, Ocrelizumab"
TGTX,"TG Therapeutics, Inc.",NCT06680037,PHASE1,RECRUITING,B-cell Mediated Autoimmune Disorders,Azercabtagene zapreleucel (azer-cel)
TGTX,"TG Therapeutics, Inc.",NCT07103746,PHASE2,NOT_YET_RECRUITING,Autoimmune Disorders,"Ublituximab, Placebo for Ublituximab"
TGTX,"TG Therapeutics, Inc.",NCT05877963,PHASE3,RECRUITING,Relapsing Multiple Sclerosis,"Ublituximab, Placebo"
TGTX,"TG Therapeutics, Inc.",NCT07211633,PHASE3,RECRUITING,Relapsing Multiple Sclerosis,"Ublituximab, Ublituximab"
TGTX,"TG Therapeutics, Inc.",NCT06433752,N/A,RECRUITING,"Relapsing Multiple Sclerosis, Multiple Sclerosis",N/A
TGTX,"TG Therapeutics, Inc.",NCT06864936,NA,NOT_YET_RECRUITING,Multiple Sclerosis (MS) - Relapsing-remitting,Ublituximab
TGTX,"TG Therapeutics, Inc.",NCT07225361,PHASE4,RECRUITING,"Multiple Sclerosis, Multiple Sclerosis (MS) - Relapsing-remitting",Ublituximab
TGTX,"TG Therapeutics, Inc.",NCT06433765,N/A,RECRUITING,Multiple Sclerosis,N/A
INDV,"Indivior Pharmaceuticals, Inc.",NCT06576843,PHASE2,ACTIVE_NOT_RECRUITING,Moderate to Severe Opioid Use Disorder,"INDV-6001, Suboxone, Sublocade"
DBVT,DBV Technologies S.A.,NCT05741476,PHASE3,ACTIVE_NOT_RECRUITING,"Allergy, Peanut","DBV712, DBV712"
DBVT,DBV Technologies S.A.,NCT07003919,PHASE3,RECRUITING,"Allergy, Peanut Allergy",N/A
CAPR,"Capricor Therapeutics, Inc.",NCT05126758,PHASE3,ACTIVE_NOT_RECRUITING,"Muscular Dystrophies, Muscular Dystrophy, Duchenne, Muscular Disorders, Atrophic, Muscular Diseases, Neuromuscular Diseases, Genetic Diseases, X-Linked, Genetic Diseases, Inborn, Nervous System Diseases","Deramiocel (CAP-1002), Placebo"
CAPR,"Capricor Therapeutics, Inc.",NCT04428476,PHASE2,ACTIVE_NOT_RECRUITING,Duchenne Muscular Dystrophy,Deramiocel (CAP-1002)
IVVD,"Invivyd, Inc.",NCT06523153,PHASE1,ACTIVE_NOT_RECRUITING,COVID-19,VYD2311
IVVD,"Invivyd, Inc.",NCT07298434,PHASE3,RECRUITING,COVID-19,"VYD2311-SD, VYD2311-MD, Placebo"
MAZE,"Maze Therapeutics, Inc.",NCT06830629,PHASE2,RECRUITING,Proteinuric Kidney Disease,MZE829
GPCR,Structure Therapeutics Inc.,NCT07169942,PHASE2,ACTIVE_NOT_RECRUITING,"Obesity, Overweight, or Chronic Weight Management",aleniglipron or placebo
GPCR,Structure Therapeutics Inc.,NCT07400588,PHASE2,RECRUITING,"Obese, Obesity, Obesity Type 2 Diabetes Mellitus, Weight Loss","Aleniglipron, Placebo"
GPCR,Structure Therapeutics Inc.,NCT06693843,PHASE2,ACTIVE_NOT_RECRUITING,"Obesity, Overweight, or Chronic Weight Management","Aleniglipron or Placebo, Aleniglipron or Placebo, Aleniglipron or Placebo, Aleniglipron, Aleniglipron, Aleniglipron, Aleniglipron"
GPCR,Structure Therapeutics Inc.,NCT06703021,PHASE2,ACTIVE_NOT_RECRUITING,"Obesity, Overweight, Chronic Weight Management","aleniglipron or placebo, aleniglipron or placebo, aleniglipron or placebo, aleniglipron or placebo"
ARWR,"Arrowhead Pharmaceuticals, Inc.",NCT07221344,"PHASE1, PHASE2",RECRUITING,"Alzheimer Disease, Alzheimer Disease, Early Onset","ARO-MAPT-SC, Placebo"
ARWR,"Arrowhead Pharmaceuticals, Inc.",NCT07241546,PHASE2,NOT_YET_RECRUITING,Asthma,"ARO-RAGE, Placebo"
ARWR,"Arrowhead Pharmaceuticals, Inc.",NCT06347003,PHASE3,ACTIVE_NOT_RECRUITING,Severe Hypertriglyceridemia,"Plozasiran Injection, Placebo"
ARWR,"Arrowhead Pharmaceuticals, Inc.",NCT06347133,PHASE3,ACTIVE_NOT_RECRUITING,Hypertriglyceridemia,"Plozasiran Injection, Placebo"
ARWR,"Arrowhead Pharmaceuticals, Inc.",NCT06937203,"PHASE1, PHASE2",RECRUITING,"Obesity, Diabetes Mellitus, Type 2","ARO-ALK7, Placebo"
ARWR,"Arrowhead Pharmaceuticals, Inc.",NCT06209177,"PHASE1, PHASE2",ACTIVE_NOT_RECRUITING,IgA Nephropathy,"ARO-CFB, Placebo"
ARWR,"Arrowhead Pharmaceuticals, Inc.",NCT06672445,PHASE1,RECRUITING,Spinocerebellar Ataxia Type 2,"ARO-ATXN2 Injection, Placebo"
ARWR,"Arrowhead Pharmaceuticals, Inc.",NCT06880770,PHASE3,RECRUITING,Severe Hypertriglyceridemia,"Plozasiran, Placebo"
ARWR,"Arrowhead Pharmaceuticals, Inc.",NCT06347016,PHASE3,ACTIVE_NOT_RECRUITING,Severe Hypertriglyceridemia,"Plozasiran Injection, Placebo"
ARWR,"Arrowhead Pharmaceuticals, Inc.",NCT07223658,"PHASE1, PHASE2",RECRUITING,Hyperlipidemia; Mixed,"ARO-DIMERPA, Placebo"
ARWR,"Arrowhead Pharmaceuticals, Inc.",NCT06822790,PHASE3,RECRUITING,Hypertriglyceridemia,Plozasiran Injection
ARWR,"Arrowhead Pharmaceuticals, Inc.",NCT06138743,"PHASE1, PHASE2",RECRUITING,Myotonic Dystrophy 1,"ARO-DM1 Intravenous (IV) Infusion, Placebo Intravenous (IV) Infusion, ARO-DM1 subcutaneous (SC) injection, Placebo Subcutaneous (SC) Injection"
ARWR,"Arrowhead Pharmaceuticals, Inc.",NCT06700538,"PHASE1, PHASE2",RECRUITING,Obesity,"ARO-INHBE, Placebo, Tirzepatide"
ARWR,"Arrowhead Pharmaceuticals, Inc.",NCT05089084,PHASE3,ACTIVE_NOT_RECRUITING,Familial Chylomicronemia,"Plozasiran, Placebo"
ARWR,"Arrowhead Pharmaceuticals, Inc.",NCT05217667,PHASE2,ACTIVE_NOT_RECRUITING,Homozygous Familial Hypercholesterolemia,ARO-ANG 3 Injection
ARWR,"Arrowhead Pharmaceuticals, Inc.",NCT07037771,PHASE3,RECRUITING,Homozygous Familial Hypercholesterolemia,"zodasiran Injection, Placebo"
ARWR,"Arrowhead Pharmaceuticals, Inc.",NCT06131983,"PHASE1, PHASE2",RECRUITING,Facio-Scapulo-Humeral Dystrophy,"ARO-DUX4 for Injection, Placebo"
PRAX,"Praxis Precision Medicines, Inc.",NCT07010471,PHASE3,RECRUITING,Developmental and Epileptic Encephalopathy 1,"1.0mg/kg/day PRAX-562, 1.5mg/kg/day PRAX-562, Placebo"
PRAX,"Praxis Precision Medicines, Inc.",NCT06999902,"PHASE2, PHASE3",RECRUITING,Focal Seizure,"20mg/day PRAX-628 for 6 weeks then 30mg/day PRAX-628 for remaining 6 weeks, Placebo"
PRAX,"Praxis Precision Medicines, Inc.",NCT06840925,PHASE1,NOT_YET_RECRUITING,Healthy,PRAX-628
PRAX,"Praxis Precision Medicines, Inc.",NCT07019922,PHASE3,RECRUITING,"Epileptic Encephalopathy, SCN2A Encephalopathy","1mg elsunersen, 0.5mg elsunersen"
PRAX,"Praxis Precision Medicines, Inc.",NCT05737784,"PHASE1, PHASE2",RECRUITING,"SCN2A-DEE, Epilepsy","PRAX-222 - Initial Dose, PRAX-222 - Initial Ascending Doses, PRAX-222 - Optional Ascending Doses, PRAX-222 - Fixed Doses"
PRAX,"Praxis Precision Medicines, Inc.",NCT06908356,PHASE2,RECRUITING,"Focal Onset Seizure, Primary Generalized Epilepsy",30mg PRAX-628
PRAX,"Praxis Precision Medicines, Inc.",NCT05818553,"PHASE2, PHASE3",ACTIVE_NOT_RECRUITING,"SCN2A Encephalopathy, SCN8A Encephalopathy",PRAX-562
ANRO,"Alto Neuroscience, Inc.",NCT06502964,PHASE2,RECRUITING,"Schizophrenia, Cognitive Impairment","ALTO-101, Placebo"
ANRO,"Alto Neuroscience, Inc.",NCT06656416,PHASE2,RECRUITING,Bipolar Disorder I or II With a Major Depressive Episode,"ALTO-100, Placebo"
ANRO,"Alto Neuroscience, Inc.",NCT05922878,PHASE2,RECRUITING,Major Depressive Disorder,"ALTO-300, Placebo"
ZURA,Zura Bio Limited,NCT06843239,PHASE2,RECRUITING,"Systemic Sclerosis (SSc), Scleroderma",Tibulizumab
ZURA,Zura Bio Limited,NCT06993610,PHASE2,RECRUITING,Hidradenitis Suppurativa (HS),"Tibulizumab Dose A, Tibulizumab Dose B"
CLYM,"Climb Bio, Inc.",NCT07090655,EARLY_PHASE1,RECRUITING,Healthy Volunteers,"Budoprutug, Placebo"
CLYM,"Climb Bio, Inc.",NCT07043946,"PHASE1, PHASE2",RECRUITING,"Immune Thrombocytopenia (ITP), ITP, Biologics, Monoclonal, Anti-CD19",Budoprutug
CLYM,"Climb Bio, Inc.",NCT07011043,PHASE1,RECRUITING,Systemic Lupus Erythematosus,Budoprutug
CLYM,"Climb Bio, Inc.",NCT07248865,PHASE1,RECRUITING,Healthy Volunteers,"CLYM116, Placebo"
CLYM,"Climb Bio, Inc.",NCT07096843,PHASE2,RECRUITING,Primary Membranous Nephropathy,budoprutug
ALMS,Alumis Inc.,NCT06588738,PHASE3,ACTIVE_NOT_RECRUITING,Plaque Psoriasis,"ESK-001, Placebo, Apremilast"
ALMS,Alumis Inc.,NCT06846541,PHASE3,ACTIVE_NOT_RECRUITING,"Plaque Psoriasis, Psoriasis (PsO), Psoriasis, Moderate Psoriasis, Severe Psoriasis","Open-Label ESK-001, Blinded ESK-001, Placebo"
ALMS,Alumis Inc.,NCT06586112,PHASE3,ACTIVE_NOT_RECRUITING,Plaque Psoriasis,"ESK-001, Apremilast, Placebo"
ALMS,Alumis Inc.,NCT06952634,PHASE1,RECRUITING,Hepatic Impairment,ESK-001
ALMS,Alumis Inc.,NCT05739435,PHASE2,ACTIVE_NOT_RECRUITING,Plaque Psoriasis,ESK-001
ALMS,Alumis Inc.,NCT05966480,PHASE2,ACTIVE_NOT_RECRUITING,SLE,"ESK-001, Placebo"
STOK,"Stoke Therapeutics, Inc.",NCT04740476,PHASE2,ACTIVE_NOT_RECRUITING,Dravet Syndrome,zorevunersen (STK-001)
STOK,"Stoke Therapeutics, Inc.",NCT06872125,PHASE3,RECRUITING,Dravet Syndrome,zorevunersen
FBRX,"Forte Biosciences, Inc.",NCT06905873,PHASE1,RECRUITING,Vitiligo,"FB102, Placebo"
FBRX,"Forte Biosciences, Inc.",NCT06982963,PHASE2,RECRUITING,Celiac Disease,FB102
FBRX,"Forte Biosciences, Inc.",NCT07205159,PHASE1,RECRUITING,Alopecia Areata,"FB102, Placebo"
MIRM,"Mirum Pharmaceuticals, Inc.",NCT07454837,"PHASE2, PHASE3",RECRUITING,Chronic Hepatitis D,"Brelovitug (BJT-778), Bulevirtide"
MIRM,"Mirum Pharmaceuticals, Inc.",NCT07298330,PHASE3,RECRUITING,Chronic Hepatitis D Infection,"Brelovitug 300 mg, Brelovitug 900 mg, Delayed Treatment with Brelovitug 300mg"
MIRM,"Mirum Pharmaceuticals, Inc.",NCT05050136,PHASE2,RECRUITING,"Primary Biliary Cholangitis, PBC","Volixibat, Placebo"
MIRM,"Mirum Pharmaceuticals, Inc.",NCT07411716,N/A,NOT_YET_RECRUITING,"PFIC - Progressive Familial Intrahepatic Cholestasis, Alagille Syndrome (ALGS), Cholestasis, Intrahepatic",N/A
MIRM,"Mirum Pharmaceuticals, Inc.",NCT03115086,N/A,ACTIVE_NOT_RECRUITING,Bile Acid Synthesis Disorders,Cholbam
MIRM,"Mirum Pharmaceuticals, Inc.",NCT06907290,"PHASE2, PHASE3",ACTIVE_NOT_RECRUITING,Chronic Hepatitis D Infection,"Brelovitug 300 mg, Brelovitug 900 mg, Delayed Treatment with Brelovitug 300mg"
MIRM,"Mirum Pharmaceuticals, Inc.",NCT06193928,N/A,RECRUITING,"Alagille Syndrome, Progressive Familial Intrahepatic Cholestasis","Livmarli, Livmarli"
MIRM,"Mirum Pharmaceuticals, Inc.",NCT06553768,PHASE3,RECRUITING,"Cholestatic Liver Disease (Except ALGS, PFIC, PBC and PSC)",Maralixibat
MIRM,"Mirum Pharmaceuticals, Inc.",NCT04663308,PHASE2,ACTIVE_NOT_RECRUITING,Primary Sclerosing Cholangitis,"Volixibat, Placebo"
MIRM,"Mirum Pharmaceuticals, Inc.",NCT07389031,PHASE2,NOT_YET_RECRUITING,Intrahepatic Cholestasis of Pregnancy,Maralixibat
MIRM,"Mirum Pharmaceuticals, Inc.",NCT07209462,PHASE2,RECRUITING,Fragile X Syndrome,"Low dose of MRM-3379, Middle Dose of MRM-3379, High dose of MRM-3379, Placebo, Low dose of MRM-3379 Open-Label"
MIRM,"Mirum Pharmaceuticals, Inc.",NCT07290257,PHASE4,RECRUITING,Alagille Syndrome,Livmarli Oral Product
MIRM,"Mirum Pharmaceuticals, Inc.",NCT07200908,PHASE3,RECRUITING,Chronic Hepatitis D Infection,"Brelovitug 300 mg, Bulevirtide 2 mg and Brelovitug - 300 mg"
PEPG,PepGen Inc.,NCT07220603,PHASE2,RECRUITING,Myotonic Dystrophy 1,PGN-EDODM1
PEPG,PepGen Inc.,NCT06667453,PHASE2,RECRUITING,Myotonic Dystrophy 1,PGN-EDODM1
IRWD,"Ironwood Pharmaceuticals, Inc.",NCT05796388,NA,RECRUITING,Irritable Bowel Syndrome With Constipation,N/A
KOD,Kodiak Sciences Inc.,NCT06556368,PHASE3,ACTIVE_NOT_RECRUITING,Wet Age-related Macular Degeneration,"Tarcocimab tedromer, Tabirafusp tedromer, Aflibercept"
KOD,Kodiak Sciences Inc.,NCT06990399,PHASE3,RECRUITING,Macular Edema Secondary to Inflammation,KSI-101
KOD,Kodiak Sciences Inc.,NCT06996080,PHASE3,RECRUITING,Macular Edema Secondary to Inflammation,KSI-101
KOD,Kodiak Sciences Inc.,NCT06270836,PHASE3,ACTIVE_NOT_RECRUITING,Diabetic Retinopathy,Tarcocimab
PVLA,"Palvella Therapeutics, Inc.",NCT05643872,PHASE3,RECRUITING,Pachyonychia Congenita,PTX-022
PVLA,"Palvella Therapeutics, Inc.",NCT06239480,PHASE3,RECRUITING,Microcystic Lymphatic Malformation,QTORIN 3.9% Rapamycin Anhydrous Gel
PVLA,"Palvella Therapeutics, Inc.",NCT06653842,PHASE2,RECRUITING,Cutaneous Venous Malformations,QTORIN 3.9% rapamycin anhydrous gel
BGM,BGM Group Ltd.,NCT06608199,PHASE3,RECRUITING,"Pneumococcal Vaccines, Pneumococcal Infections",pneumococcal disease prevention
FOLD,"Amicus Therapeutics, Inc.",NCT06303466,N/A,ACTIVE_NOT_RECRUITING,Fabry Disease,N/A
FOLD,"Amicus Therapeutics, Inc.",NCT03911505,PHASE3,ACTIVE_NOT_RECRUITING,Pompe Disease (Late-onset),"Cipaglucosidase Alfa, Miglustat"
FOLD,"Amicus Therapeutics, Inc.",NCT06904261,PHASE3,RECRUITING,Fabry Disease,Migalastat HCl 20 mg
FOLD,"Amicus Therapeutics, Inc.",NCT04808505,PHASE3,RECRUITING,Glycogen Storage Disease Type II Infantile Onset,"Cipaglucosidase alfa, Miglustat"
FOLD,"Amicus Therapeutics, Inc.",NCT04252066,N/A,RECRUITING,Fabry Disease,migalastat
FOLD,"Amicus Therapeutics, Inc.",NCT06121011,N/A,RECRUITING,Pompe Disease,"Cipaglucosidase alfa, Miglustat, Alglucosidase alfa or Avalglucosidase alfa"
FOLD,"Amicus Therapeutics, Inc.",NCT04020055,PHASE3,ACTIVE_NOT_RECRUITING,Fabry Disease,migalastat HCl 150 mg
FOLD,"Amicus Therapeutics, Inc.",NCT06906367,N/A,RECRUITING,Fabry Disease,"migalastat HCl, ERT"
KYTX,"Kyverna Therapeutics, Inc.",NCT06588491,PHASE2,ACTIVE_NOT_RECRUITING,"Stiff-Person Syndrome, SPS",Standard lymphodepletion regimen
KYTX,"Kyverna Therapeutics, Inc.",NCT06138132,PHASE1,RECRUITING,"Multiple Sclerosis, Multiple Sclerosis, Primary Progressive, Multiple Sclerosis, Secondary Progressive","KYV-101 anti-CD19 CAR-T cell therapy, Standard lymphodepletion regimen"
KYTX,"Kyverna Therapeutics, Inc.",NCT07403188,N/A,RECRUITING,"Refractory Lupus Nephritis, Myasthaenia Gravis, Stiff Person Syndrome, Rheumatoid Arthritis (RA), Multiple Sclerosis, Dermatomyositis, Systemic Sclerosis (SSc)",KYV-101
KYTX,"Kyverna Therapeutics, Inc.",NCT06590545,"PHASE1, PHASE2",NOT_YET_RECRUITING,ANCA-IgG-positive ANCA Associated Vasculitis,"KYV-101, an autologous fully-human anti-CD19 CAR T-cell immunotherapy"
KYTX,"Kyverna Therapeutics, Inc.",NCT05938725,"PHASE1, PHASE2",ACTIVE_NOT_RECRUITING,"Lupus Nephritis, Lupus Nephritis - World Health Organization (WHO) Class III, Lupus Nephritis - WHO Class IV","KYV-101 anti-CD19 CAR-T cell therapy, Standard lymphodepletion regimen"
KYTX,"Kyverna Therapeutics, Inc.",NCT06400303,"PHASE1, PHASE2",ACTIVE_NOT_RECRUITING,"Systemic Sclerosis, Systemic Sclerosis - Diffuse Cutaneous, Systemic Sclerosis - 2013 ACR/EULAR Classification Criteria","KYV-101, Standard lymphodepletion regimen"
KYTX,"Kyverna Therapeutics, Inc.",NCT06384976,PHASE2,ACTIVE_NOT_RECRUITING,"Multiple Sclerosis, Primary Progressive, Multiple Sclerosis, Secondary Progressive, Multiple Sclerosis, MS","KYV-101, Standard lymphodepletion regimen, Anti-CD20 mAB"
KYTX,"Kyverna Therapeutics, Inc.",NCT06342960,"PHASE1, PHASE2",ACTIVE_NOT_RECRUITING,"Lupus Nephritis, Lupus Nephritis - WHO Class III, Lupus Nephritis - WHO Class IV","KYV-101 anti-CD19 CAR-T cell therapy, Standard lymphodepletion regimen"
KYTX,"Kyverna Therapeutics, Inc.",NCT06152172,PHASE1,ACTIVE_NOT_RECRUITING,"Idiopathic Inflammatory Myopathies, Diffuse Cutaneous Systemic Sclerosis, SLE Nephritis, ANCA Associated Vasculitis","KYV-101, Cyclophosphamide, Fludarabine"
KYTX,"Kyverna Therapeutics, Inc.",NCT06475495,"PHASE1, PHASE2",ACTIVE_NOT_RECRUITING,Rheumatoid Arthritis,"KYV101, Rituximab (active comparator)"
KYTX,"Kyverna Therapeutics, Inc.",NCT06193889,"PHASE2, PHASE3",RECRUITING,"Myasthenia Gravis, Generalized Myasthenia Gravis","Standard of Care Treatment, Standard lymphodepletion regimen, KYV-101"
KYTX,"Kyverna Therapeutics, Inc.",NCT06451159,PHASE1,ACTIVE_NOT_RECRUITING,Progressive Multiple Sclerosis,"KYV-101 (Biological) - 0.33 ×10^8 cells, KYV-101 (Biological) - 1 ×10^8 cells, Chemotherapy: cyclophosphamide (CYC), Chemotherapy: fludarabine (FLU)"
MBX,"MBX Biosciences, Inc.",NCT07142707,PHASE1,RECRUITING,Obesity,"MBX 4291, Placebo"
MBX,"MBX Biosciences, Inc.",NCT06531941,PHASE2,ACTIVE_NOT_RECRUITING,Hypoparathyroidism,"400 µg of MBX 2109 once-weekly by subcutaneous injection, 200-1600 µg of MBX 2109 once-weekly by subcutaneous injection"
MBX,"MBX Biosciences, Inc.",NCT07029412,PHASE2,RECRUITING,Postbariatric Hypoglycemia,MBX 1416 (INN imapextide)
CTNM,"Contineum Therapeutics, Inc.",NCT07284459,PHASE2,RECRUITING,Idiopathic Pulmonary Fibrosis,"PIPE-791 Dose A, PIPE-791 Dose B, Placebo"
CTNM,"Contineum Therapeutics, Inc.",NCT06810245,PHASE1,ACTIVE_NOT_RECRUITING,"Chronic Osteoarthritis Pain, Chronic Low Back Pain","PIPE-791, Placebo"
ORKA,"Oruka Therapeutics, Inc.",NCT06698939,PHASE1,ACTIVE_NOT_RECRUITING,Healthy Volunteers,ORKA-001
ORKA,"Oruka Therapeutics, Inc.",NCT07090330,PHASE2,RECRUITING,Plaque Psoriasis,"ORKA-001 Induction Dose, ORKA-001 Maintenance Dose"
ORKA,"Oruka Therapeutics, Inc.",NCT07290569,PHASE2,RECRUITING,Plaque Psoriasis,ORKA-001
ORKA,"Oruka Therapeutics, Inc.",NCT06944379,PHASE1,ACTIVE_NOT_RECRUITING,Healthy Volunteers,ORKA-002
ORKA,"Oruka Therapeutics, Inc.",NCT07449702,PHASE2,RECRUITING,Plaque Psoriasis,ORKA-001
NMRA,"Neumora Therapeutics, Inc.",NCT06029439,PHASE3,RECRUITING,Major Depressive Disorder,NMRA-335140
NMRA,"Neumora Therapeutics, Inc.",NCT06058013,PHASE3,RECRUITING,Major Depressive Disorder,"NMRA-335140, Placebo"
NMRA,"Neumora Therapeutics, Inc.",NCT06058039,PHASE3,RECRUITING,Major Depressive Disorder,"NMRA-335140, Placebo"
BLTE,"Belite Bio, Inc",NCT05949593,PHASE3,ACTIVE_NOT_RECRUITING,Geographic Atrophy,"Tinlarebant, Placebo"
BLTE,"Belite Bio, Inc",NCT06388083,"PHASE2, PHASE3",RECRUITING,"STGD1, Stargardt Disease 1","Tinlarebant, Placebo"
IMVT,"Immunovant, Inc.",NCT07018323,PHASE2,RECRUITING,Graves' Disease,"IMVT-1402, IMVT-1402, Placebo"
IMVT,"Immunovant, Inc.",NCT06980805,PHASE2,RECRUITING,"Subacute Cutaneous Lupus Erythematosus, Chronic Cutaneous Lupus Erythematosus","IMVT-1402, Placebo"
IMVT,"Immunovant, Inc.",NCT07039916,PHASE3,RECRUITING,Generalized Myasthenia Gravis,"IMVT-1402, IMVT-1402, Placebo, IMVT-1402"
IMVT,"Immunovant, Inc.",NCT06754462,PHASE2,ACTIVE_NOT_RECRUITING,Rheumatoid Arthritis,"IMVT-1402, Placebo"
IMVT,"Immunovant, Inc.",NCT05403541,PHASE3,ACTIVE_NOT_RECRUITING,Generalized Myasthenia Gravis,"Batoclimab 680 mg SC weekly, Batoclimab 340 mg SC weekly, Matching Placebo SC, Batoclimab 340 mg SC bi-weekly"
IMVT,"Immunovant, Inc.",NCT06979531,PHASE2,RECRUITING,Primary Sjögren's Syndrome,"IMVT-1402, Placebo"
IMVT,"Immunovant, Inc.",NCT06727604,PHASE2,RECRUITING,Graves' Disease,"IMVT-1402, IMVT-1402, Placebo"
IMVT,"Immunovant, Inc.",NCT05524571,PHASE3,ACTIVE_NOT_RECRUITING,Thyroid Eye Disease,"Batoclimab, Placebo"
IMVT,"Immunovant, Inc.",NCT05517447,PHASE3,ACTIVE_NOT_RECRUITING,Thyroid Eye Disease,Batoclimab
IMVT,"Immunovant, Inc.",NCT05581199,PHASE2,ACTIVE_NOT_RECRUITING,Chronic Inflammatory Demyelinating Polyneuropathy,"Batoclimab 680 milligrams (mg) subcutaneous (SC) weekly, Batoclimab 340 mg SC weekly, Placebo"
IMVT,"Immunovant, Inc.",NCT07032662,PHASE2,RECRUITING,Chronic Inflammatory Demyelinating Polyneuropathy,"IMVT-1402, Placebo"
SEPN,"Septerna, Inc.",NCT07069036,PHASE1,NOT_YET_RECRUITING,Healthy Volunteers,SEP-631
SEPN,"Septerna, Inc.",NCT07433179,PHASE1,NOT_YET_RECRUITING,Healthy Volunteers,SEP-479
DSGN,"Design Therapeutics, Inc.",NCT07024693,PHASE2,RECRUITING,"Fuchs Endothelial Corneal Dystrophy, Fuchs",DT-168
DSGN,"Design Therapeutics, Inc.",NCT06772870,PHASE1,NOT_YET_RECRUITING,Friedreich Ataxia,"DT-216P2, Saline"
DSGN,"Design Therapeutics, Inc.",NCT06874010,"PHASE1, PHASE2",RECRUITING,Friedreich Ataxia,DT-216P2
